country,gdp,lifeexp,population,region,color,rgb,loggdp
Nigeria,1539.636272,43.81804918,84829309.3,Sub-Saharan Africa,blue,[0 0 1],3.187418134
Senegal,1532.32541,47.66303279,6280306.574,Sub-Saharan Africa,blue,[0 0 1],3.185351003
Pakistan,1491.65948,56.06990164,93337171.48,South Asia,lt. blue,[.1 .8 .9],3.173669693
Cape Verde,1415.385626,59.69379661,325254.4068,Sub-Saharan Africa,blue,[0 0 1],3.150874781
Sao Tome and Principe,1403.192427,57.5707377,101241.6066,Sub-Saharan Africa,blue,[0 0 1],3.147117232
Mauritania,1385.153179,50.87047541,1745150.492,Sub-Saharan Africa,blue,[0 0 1],3.141497803
Zambia,1364.346885,46.82306557,6609379.852,Sub-Saharan Africa,blue,[0 0 1],3.134924804
Madagascar,1333.455329,49.48096721,10134449.66,Sub-Saharan Africa,blue,[0 0 1],3.124978471
Comoros,1319.80918,51.46888525,376189.7213,Sub-Saharan Africa,blue,[0 0 1],3.120511145
Laos,1217.574081,51.96585246,3665864.18,East Asia & Pacific,red,[1 0 0],3.085495395
Kenya,1212.572982,52.97703279,19482512.11,Sub-Saharan Africa,blue,[0 0 1],3.083707887
Chad,1199.339301,45.8807377,5517909.656,Sub-Saharan Africa,blue,[0 0 1],3.078942065
India,1169.139305,53.40331148,751712360.5,South Asia,lt. blue,[.1 .8 .9],3.067866261
Benin,1158.87664,44.69537705,4394703.656,Sub-Saharan Africa,blue,[0 0 1],3.064037209
Togo,1158.674167,48.28688525,3145839.18,Sub-Saharan Africa,blue,[0 0 1],3.063961324
Somalia,1102.409459,42.51704918,5431243.049,Sub-Saharan Africa,blue,[0 0 1],3.042342931
Sierra Leone,1085.53419,38.05203279,3388793.77,Sub-Saharan Africa,blue,[0 0 1],3.035643507
Vietnam,1084.205117,57.6785082,57391861.39,East Asia & Pacific,red,[1 0 0],3.035111453
Ghana,1074.095741,52.95883607,12846599.05,Sub-Saharan Africa,blue,[0 0 1],3.031042995
Central African Rep.,947.9543186,43.46819672,2567237,Sub-Saharan Africa,blue,[0 0 1],2.976787409
Myanmar,882.5764536,53.20965574,33262430.62,East Asia & Pacific,red,[1 0 0],2.945752337
Tanzania,865.0374287,48.71367213,21938808.62,Sub-Saharan Africa,blue,[0 0 1],2.937034899
Bangladesh,857.9707771,54.70047541,89255396.77,South Asia,lt. blue,[.1 .8 .9],2.933472496
Burkina Faso,856.3111966,44.50886885,8495238.541,Sub-Saharan Africa,blue,[0 0 1],2.932631623
Uganda,828.1015571,47.51303279,15437229.43,Sub-Saharan Africa,blue,[0 0 1],2.918083601
Afghanistan,823.3282829,38.84827869,15823532.79,South Asia,lt. blue,[.1 .8 .9],2.915573035
Lesotho,820.3627565,50.13713115,1397268.836,Sub-Saharan Africa,blue,[0 0 1],2.914005936
Nepal,808.5239723,50.05480328,16904222.95,South Asia,lt. blue,[.1 .8 .9],2.907692901
Guinea,785.3454429,40.27259016,5601889.754,Sub-Saharan Africa,blue,[0 0 1],2.895060728
Niger,779.2892399,42.19063934,7058025.033,Sub-Saharan Africa,blue,[0 0 1],2.89169868
Cambodia,726.3019778,48.5242623,8561079.23,East Asia & Pacific,red,[1 0 0],2.861117227
Mali,691.7456589,39.69734426,8255526.672,Sub-Saharan Africa,blue,[0 0 1],2.839946442
Rwanda,685.240465,45.19836066,5495346.016,Sub-Saharan Africa,blue,[0 0 1],2.835843001
Gambia,680.1538181,45.76839344,808053.6557,Sub-Saharan Africa,blue,[0 0 1],2.83260714
Guinea-Bissau,673.8484134,40.13260656,899825.6393,Sub-Saharan Africa,blue,[0 0 1],2.82856221
"Congo, Dem. Rep.",649.886113,44.59259016,32217396.07,Sub-Saharan Africa,blue,[0 0 1],2.812837257
Zimbabwe,637.2803703,53.11760656,7975630.967,Sub-Saharan Africa,blue,[0 0 1],2.804330541
Liberia,591.328874,43.00832787,1999271.262,Sub-Saharan Africa,blue,[0 0 1],2.771829086
Malawi,588.8774809,43.67901639,7403543.672,Sub-Saharan Africa,blue,[0 0 1],2.770024947
Mozambique,560.7176776,41.57534426,12976867.23,Sub-Saharan Africa,blue,[0 0 1],2.748744248
Eritrea,539.919624,46.92163934,2680764.311,Sub-Saharan Africa,blue,[0 0 1],2.732329113
Ethiopia,525.7868252,45.41780328,43073079.39,Sub-Saharan Africa,blue,[0 0 1],2.7208097
Burundi,472.5573745,44.92077049,4753657.213,Sub-Saharan Africa,blue,[0 0 1],2.674454545
